text,label,rationale,tokens
బీజేపీ లో సీటు కోసమ్ బగా చెసావ్ లే స్టంట్,1,"[1,0,0,0,1,1,1,1]","['బీజేపీ', 'లో', 'సీటు', 'కోసమ్', 'బగా', 'చెసావ్', 'లే', 'స్టంట్']"
"థియేటర్ వెళ్లిన బాధితులుగా మా బాధలు పంచుకున్నాం అంతే. బూతులు తిట్టడం, ఫ్యామిలీని ఇన్వాల్వ్ చేయడం ఈ పంచాయతీలు వద్దు అమ్మా. హ్యాపీగా ఉండండి.",1,"[0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0]","['థియేటర్', 'వెళ్లిన', 'బాధితులుగా', 'మా', 'బాధలు', 'పంచుకున్నాం', 'అంతే.', 'బూతులు', 'తిట్టడం,', 'ఫ్యామిలీని', 'ఇన్వాల్వ్', 'చేయడం', 'ఈ', 'పంచాయతీలు', 'వద్దు', 'అమ్మా.', 'హ్యాపీగా', 'ఉండండి.']"
"అరే, టీవీ9 నువ్ పెట్టిన పోల్ కి ఏమైనా సంబంధం ఉందా రా?",1,"[1,0,0,0,0,0,1,1,1,1]","['అరే,', 'టీవీ9', 'నువ్', 'పెట్టిన', 'పోల్', 'కి', 'ఏమైనా', 'సంబంధం', 'ఉందా', 'రా?']"
ఇప్పుడు నువ్వు చెప్పింది ఏం పీకుతానని వార్తలు చేసాడు,1,"[0,0,0,1,1,0,0]","['ఇప్పుడు', 'నువ్వు', 'చెప్పింది', 'ఏం', 'పీకుతానని', 'వార్తలు', 'చేసాడు']"
ని థంబ్నెయిల్ జతిని థెంగా,1,"[0,0,1,1]","['ని', 'థంబ్నెయిల్', 'జతిని', 'థెంగా']"
ఎందుకురా అయ్యా పిచ్చి పిచ్చి థంబ్,1,"[0,0,1,1,0,0,]","['ఎందుకురా', 'అయ్యా', 'పిచ్చి', 'పిచ్చి', 'థంబ్\u200cనెయిల్స్', 'పెడతారు???']"
మీరు చింతించకండి సోదరా ఆ కళ్యాణి కి ధూలా పట్టి ఇదంతా చేస్తుంది,1,"[0,0,0,0,0,0,1,1,0,0]","['మీరు', 'చింతించకండి', 'సోదరా', 'ఆ', 'కళ్యాణి', 'కి', 'ధూలా', 'పట్టి', 'ఇదంతా', 'చేస్తుంది']"
"బాగా చేప్పారు మహా వార్తలు వృధా వార్తలు కేవలం బీజేపీ కి, టీడీపీ కి మద్దతు మాత్రమే. ",1,"[0,0,0,0,1,0,0,0,0,0,0,0,0]","['బాగా', 'చేప్పారు', 'మహా', 'వార్తలు', 'వృధా', 'వార్తలు', 'కేవలం', 'బీజేపీ', 'కి,', 'టీడీపీ', 'కి', 'మద్దతు', 'మాత్రమే.']"
పోరా హౌలీ,1,"[1,1]","['పోరా', 'హౌలీ']"
"జై కుమార్ నెక్స్ట్ నీ అమ్మా నీ, సోదరీమణులు నీ అంధార్నీ పెట్టీ ప్ర్యాంక్ థేస్తాడు వాడు వెయిట్.",1,"[0,0,0,0,0,0,0,0,0,0,1,1,1,0]","['జై', 'కుమార్', 'నెక్స్ట్', 'నీ', 'అమ్మా', 'నీ,', 'సోదరీమణులు', 'నీ', 'అంధార్నీ', 'పెట్టీ', 'ప్ర్యాంక్', 'థేస్తాడు', 'వాడు', 'వెయిట్.']"
ఇంకా సావలేడు లే వాడు బనే సచ్చాడు యెధవకనిపిస్తూన్ వంధిగా,1,"[0,1,0,0,1,1,1,1]","['ఇంకా', 'సావలేడు', 'లే', 'వాడు', 'బనే', 'సచ్చాడు', 'యెధవకనిపిస్తూన్', 'వంధిగా']"
వాడికసలు ఏం మాట్లాడుతున్నాడో క్లారిటీ నే లేదు మళ్లీ మాట్లాడుతున్నాడు ఏదవా,1,"[0,0,0,0,0,0,0,0,1]","['వాడికసలు', 'ఏం', 'మాట్లాడుతున్నాడో', 'క్లారిటీ', 'నే', 'లేదు', 'మళ్లీ', 'మాట్లాడుతున్నాడు', 'ఏదవా']"
మీకు గవర్నర్ పదవి ఇవ్వడమే వృధా,1,"[0,0,0,0,1]","['మీకు', 'గవర్నర్', 'పదవి', 'ఇవ్వడమే', 'వృధా']"
"మీరు ఎంత కథలు పడినా, కేసీఆర్ 100% తరువాతి తెలంగాణ ముఖ్యమంత్రి, చీప్ ఇంటర్వ్యూలు తో చీప్ ఏబిఎన్ రాధ కృష్ణ. ",1,"[0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0]","['మీరు', 'ఎంత', 'కథలు', 'పడినా,', 'కేసీఆర్', '100%', 'తరువాతి', 'తెలంగాణ', 'ముఖ్యమంత్రి,', 'చీప్', 'ఇంటర్వ్యూలు', 'తో', 'చీప్', 'ఏబిఎన్', 'రాధ', 'కృష్ణ.']"
ఆ లోగో నీ మార్చండి రా బాబు,1,"[0,0,0,1,1,1]","['ఆ', 'లోగో', 'నీ', 'మార్చండి', 'రా', 'బాబు']"
ఉద్దేశపూర్వకంగా గెలికి ఎమినా సీరియస్ ఐతే న్యూస్ చేదమని,1,"[0,1,0,0,0,0,0]","['ఉద్దేశపూర్వకంగా', 'గెలికి', 'ఎమినా', 'సీరియస్', 'ఐతే', 'న్యూస్', 'చేదమని']"
సోషల్ మీడియా పరమ చేత మీడియా వాలు అసలు విషయాలు తెలుసుకోకుండా మాట్లాడడం మంచిది కాదు ,1,"[0,0,1,1,0,0,0,0,0,0,1,1]","['సోషల్', 'మీడియా', 'పరమ', 'చేత', 'మీడియా', 'వాలు', 'అసలు', 'విషయాలు', 'తెలుసుకోకుండా', 'మాట్లాడడం', 'మంచిది', 'కాదు']"
న్యూస్ వాలు పెన్ ఉండాని రాయడం మంచిడి కాదు,1,"[0,0,1,1,1,1,1]","['న్యూస్', 'వాలు', 'పెన్', 'ఉండాని', 'రాయడం', 'మంచిడి', 'కాదు']"
ఎవడెంత ఈచారు నీకు డబ్బులు బెవర్సే యడవల్రా ,1,"[0,0,0,0,1,1]","['ఎవడెంత', 'ఈచారు', 'నీకు', 'డబ్బులు', 'బెవర్సే', 'యడవల్రా']"
ఈడు కామెడీ కి తక్కువ అడ్డగోలు వాగుడుకి ఎక్కువ బేవకూఫ్ ఎడవ,1,"[0,0,0,0,1,1,1,1,1]","['ఈడు', 'కామెడీ', 'కి', 'తక్కువ', 'అడ్డగోలు', 'వాగుడుకి', 'ఎక్కువ', 'బేవకూఫ్', 'ఎడవ']"
పబ్లిక్ మీటింగ్ లో ఎలా మాటలాడలో తెలియాని యాంకర్ వాలాకి ఛాన్స్ ఇవకండి,1,"[0,0,0,0,0,1,1,1,1,1]","['పబ్లిక్', 'మీటింగ్', 'లో', 'ఎలా', 'మాటలాడలో', 'తెలియాని', 'యాంకర్', 'వాలాకి', 'ఛాన్స్', 'ఇవకండి']"
ఓవర్ కాన్ఫిడెన్ట్ అయితే అలానే ఉంటాది సూపర్ గా చెప్పి సైలెంట్ చేసినావ్ సుమ అక్క.,1,"[1,1,0,0,0,0,0,0,1,1,0,0]","['ఓవర్', 'కాన్ఫిడెన్ట్', 'అయితే', 'అలానే', 'ఉంటాది', 'సూపర్', 'గా', 'చెప్పి', 'సైలెంట్', 'చేసినావ్', 'సుమ', 'అక్క.']"
"అలీ సిగ్గుండాలి నీకు, సంస్కారం లేదు నీకు, నవ్వుతూ ఉన్న సో-కాల్డ్ సెలబ్రిటీలకి నవ్వు ఎలా వస్తుందో.",1,"[0,1,1,1,1,1,0,0,0,0,0,0,0]","['అలీ', 'సిగ్గుండాలి', 'నీకు,', 'సంస్కారం', 'లేదు', 'నీకు,', 'నవ్వుతూ', 'ఉన్న', 'సో-కాల్డ్', 'సెలబ్రిటీలకి', 'నవ్వు', 'ఎలా', 'వస్తుందో.']"
దయాచేసి. అలీ కి యాంకరింగ్ ఇవకండి,1,"[0,1,0,0,1]","['దయాచేసి.', 'అలీ', 'కి', 'యాంకరింగ్', 'ఇవకండి']"
సుమా అక్క యు ఆర్ సూపర్ ని పక్కానా ఆడు ఎండుకు చండలం గా,1,"[0,0,0,0,0,0,0,1,1,1,1]","['సుమా', 'అక్క', 'యు', 'ఆర్', 'సూపర్', 'ని', 'పక్కానా', 'ఆడు', 'ఎండుకు', 'చండలం', 'గా']"
ఒరే అలి ఇంత అసభ్యం మట్లాడుతావ్ అడవల్లతో డబుల్ మీనింగ్ డైలాగ్స్ మాట్లాడుతావ్ నువ్వు ఎమ్మెల్యే అయ్యి ఎమి పీకుటావ్,1,"[1,1,0,1,0,0,1,1,1,0,0,0,0,1,1]","['ఒరే', 'అలి', 'ఇంత', 'అసభ్యం', 'మట్లాడుతావ్', 'అడవల్లతో', 'డబుల్', 'మీనింగ్', 'డైలాగ్స్', 'మాట్లాడుతావ్', 'నువ్వు', 'ఎమ్మెల్యే', 'అయ్యి', 'ఎమి', 'పీకుటావ్']"
అలీ డబుల్ అంటే గడు చేప్పు దెబ్బా పదాలి,1,"[0,1,1,1,1,1,1]","['అలీ', 'డబుల్', 'అంటే', 'గడు', 'చేప్పు', 'దెబ్బా', 'పదాలి']"
అలీ ని భార్య కేరళ వెల్లారా అని అడిగిథే నికు ఎలా ఉంతుంది?? తప్పురా నయనా అలా మాట్లాడటం.,1,"[0,0,0,0,0,0,0,1,1,1,1,1,1,1]","['అలీ', 'ని', 'భార్య', 'కేరళ', 'వెల్లారా', 'అని', 'అడిగిథే', 'నికు', 'ఎలా', 'ఉంతుంది??', 'తప్పురా', 'నయనా', 'అలా', 'మాట్లాడటం.']"
"వాడికి బాగా బలిసింది. బుర్ర దొబ్బినట్టుంది, కోడిక్కి.",1,"[0,1,1,1,1,1]","['వాడికి', 'బాగా', 'బలిసింది.', 'బుర్ర', 'దొబ్బినట్టుంది,', 'కోడిక్కి.']"
నువ్ పాలిటిక్స్ లోకీ వెల్లాలి అనుకుతున్నవేమో.. ఇల్లా మాట్లాడిథే నిన్ను అడ్రస్ లెకుండా కొడత్తరు ప్రజలు,1,"[0,0,0,0,0,0,0,0,1,1,1,1]","['నువ్', 'పాలిటిక్స్', 'లోకీ', 'వెల్లాలి', 'అనుకుతున్నవేమో..', 'ఇల్లా', 'మాట్లాడిథే', 'నిన్ను', 'అడ్రస్', 'లెకుండా', 'కొడత్తరు', 'ప్రజలు']"
నిద్ర పోతున్న గాడిద ను లేపి తన్నించుకోవడం అంటే ఇదే. దయచేసి వాడికి పబ్లిక్ లో మైక్ ఇవ్వకండి.,1,"[0,0,1,0,0,1,1,1,0,1,0,0,0,1]","['నిద్ర', 'పోతున్న', 'గాడిద', 'ను', 'లేపి', 'తన్నించుకోవడం', 'అంటే', 'ఇదే.', 'దయచేసి', 'వాడికి', 'పబ్లిక్', 'లో', 'మైక్', 'ఇవ్వకండి.']"
వేస్ట్ గాడు ఆలీ,1,"[1,1,1]","['వేస్ట్', 'గాడు', 'ఆలీ']"
దేనెకే పనియేంలేదు. వాడేకే పనిలేదు నీకు పనిఎంలేదు. రా,1,"[0,1,1,1,0,1,1]","['దేనెకే', 'పనియేంలేదు.', 'వాడేకే', 'పనిలేదు', 'నీకు', 'పనిఎంలేదు.', 'రా']"
టాలీవుడ్లో వేస్ట్ ఫెలో,1,"[0,1,1]","['టాలీవుడ్లో', 'వేస్ట్', 'ఫెలో']"
టోక్కా కూడా ఒపుకోను,1,"[1,0,1]","['టోక్కా', 'కూడా', 'ఒపుకోను']"
"తెలంగాణ లో బీజేపీ వస్తేనే ఈ టీఆర్ఎస్ ఆరాచకాలు తగ్గుతాయి, పోలీసులను వెంట పెట్టుకొని మొత్తం తెలంగాణా ని నాశనం చేస్తున్నారు",1,"[0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1]","['తెలంగాణ', 'లో', 'బీజేపీ', 'వస్తేనే', 'ఈ', 'టీఆర్ఎస్', 'ఆరాచకాలు', 'తగ్గుతాయి,', 'పోలీసులను', 'వెంట', 'పెట్టుకొని', 'మొత్తం', 'తెలంగాణా', 'ని', 'నాశనం', 'చేస్తున్నారు']"
కెటిఆర్ మాట్లాడి కనిసం ఆర్డమ్ చెసుకునె బ్రెయిన్ లెని వల్లు కుడాకుతర్ అనాడమే. వచ్చే ఎన్నికలలో అదే స్థలం నంచి పోటీ చెస్సీ డిపాజిట్ తెచుకుంటే చాలు.,1,"[0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1]","['కెటిఆర్', 'మాట్లాడి', 'కనిసం', 'ఆర్డమ్', 'చెసుకునె', 'బ్రెయిన్', 'లెని', 'వల్లు', 'కుడాకుతర్', 'అనాడమే.', 'వచ్చే', 'ఎన్నికలలో', 'అదే', 'స్థలం', 'నంచి', 'పోటీ', 'చెస్సీ', 'డిపాజిట్', 'తెచుకుంటే', 'చాలు.']"
"రోజా గారు ఇటువంతి బద్దూ, బిరాగిలాను ఇంటర్వ్యూ, మీ డిగ్నిటీ తగ్గుతాడి, ఇటువంతి వరు సామానికి చీదా పుర్గులు",1,"[0,0,0,1,1,0,0,0,0,0,0,1,1,1]","['రోజా', 'గారు', 'ఇటువంతి', 'బద్దూ,', 'బిరాగిలాను', 'ఇంటర్వ్యూ,', 'మీ', 'డిగ్నిటీ', 'తగ్గుతాడి,', 'ఇటువంతి', 'వరు', 'సామానికి', 'చీదా', 'పుర్గులు']"
నిజామాబాద్ ఎంపీ పసుపు బోర్డు ఈది ఎన్వీ ఎసుకున్నా ఆంజి లాగు కుధా కాంగ్రెస్ ఇచిందే మరియు తెలంగాణ ఇచిందీ కుడా కాంగ్రెస్ ఎ మీరూ చెప్పే డిజిటల్ ఇండియా లో ని ఆధర్ కార్డ్ కుడా కాంగ్రెస్ టెక్చిందే,1,"[1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","['నిజామాబాద్', 'ఎంపీ', 'పసుపు', 'బోర్డు', 'ఈది', 'ఎన్వీ', 'ఎసుకున్నా', 'ఆంజి', 'లాగు', 'కుధా', 'కాంగ్రెస్', 'ఇచిందే', 'మరియు', 'తెలంగాణ', 'ఇచిందీ', 'కుడా', 'కాంగ్రెస్', 'ఎ', 'మీరూ', 'చెప్పే', 'డిజిటల్', 'ఇండియా', 'లో', 'ని', 'ఆధర్', 'కార్డ్', 'కుడా', 'కాంగ్రెస్', 'టెక్చిందే']"
"చి, చి! నీకు యాంకరింగ్ ఎవడు నెరపోంచాడో ఫార్మర్స్ ని అరెస్ట్ చేసినారు అంటే సేఫ్టీ కి అంటావా, ఈ దిక్కుమాలిన సమాధానం ఏమినా ఉంటదా అసలు, అంతే అన్యాయం జరిగింది అని చెప్తే అరెస్ట్లు చేస్తారు, అలా అరెస్ట్ చేయ్యడం సరైనదా అంటావా నీవు?",1,"[1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0]","['చి,', 'చి!', 'నీకు', 'యాంకరింగ్', 'ఎవడు', 'నెరపోంచాడో', 'ఫార్మర్స్', 'ని', 'అరెస్ట్', 'చేసినారు', 'అంటే', 'సేఫ్టీ', 'కి', 'అంటావా,', 'ఈ', 'దిక్కుమాలిన', 'సమాధానం', 'ఏమినా', 'ఉంటదా', 'అసలు,', 'అంతే', 'అన్యాయం', 'జరిగింది', 'అని', 'చెప్తే', 'అరెస్ట్లు', 'చేస్తారు,', 'అలా', 'అరెస్ట్', 'చేయ్యడం', 'సరైనదా', 'అంటావా', 'నీవు?']"
వేస్ట్ ఫెలో అతను తెలంగాణ కోసం ఏమీ చేయలేదు,1,"[1,1,0,0,0,0,0]","['వేస్ట్', 'ఫెలో', 'అతను', 'తెలంగాణ', 'కోసం', 'ఏమీ', 'చేయలేదు']"
గుండు బాబు ఈసారి నీకు గుండు సున్నా వస్తుంది గెలుపోటములు లేవు,1,"[1,1,0,0,1,1,1,0,1]","['గుండు', 'బాబు', 'ఈసారి', 'నీకు', 'గుండు', 'సున్నా', 'వస్తుంది', 'గెలుపోటములు', 'లేవు']"
ఆర్కే గారూ పెద్ద కులగజ్జి గారూ,1,"[0,0,1,1,0]","['ఆర్కే', 'గారూ', 'పెద్ద', 'కులగజ్జి', 'గారూ']"
"మీరు ఒక్కటే, మద్యలో అభిమానులు ఏయ్ బాధపడ్డారు",1,"[0,0,0,0,0,1]","['మీరు', 'ఒక్కటే,', 'మద్యలో', 'అభిమానులు', 'ఏయ్', 'బాధపడ్డారు']"
డబ్బా రాయులు,1,"[1,1]","['డబ్బా', 'రాయులు']"
మీరు మీ ఫ్యామిలీ తగలెయ్య ఎక్కడినుండి  పుట్టాడు రా మీ అందరూ మీరు మాట్లాడే భాష అసలు ఆ చిరంజీవి ఫ్యామిలీ దగ్గర మీ ఫ్యామిలీ ఎందుకు పని చేస్తుంది రా వెర్రి వెంగళప్ప నువ్వు నీ మాట్లాడను,1,"[1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0]","['మీరు', 'మీ', 'ఫ్యామిలీ', 'తగలెయ్య', 'ఎక్కడినుండి', 'పుట్టాడు', 'రా', 'మీ', 'అందరూ', 'మీరు', 'మాట్లాడే', 'భాష', 'అసలు', 'ఆ', 'చిరంజీవి', 'ఫ్యామిలీ', 'దగ్గర', 'మీ', 'ఫ్యామిలీ', 'ఎందుకు', 'పని', 'చేస్తుంది', 'రా', 'వెర్రి', 'వెంగళప్ప', 'నువ్వు', 'నీ', 'మాట్లాడను']"
"ఓరే, మీ చేసే అభివృద్ధి ఏమైనా ఉందా భూతులు తిట్టడం తప్పుకు నన్ను సహాయం చేయండి",1,"[1,0,0,0,0,0,1,1,0,0,0,0]","['ఓరే,', 'మీ', 'చేసే', 'అభివృద్ధి', 'ఏమైనా', 'ఉందా', 'భూతులు', 'తిట్టడం', 'తప్పుకు', 'నన్ను', 'సహాయం', 'చేయండి']"
"సన్నాసి అనగానే నేనే అని , మీ నిజాయితీకి హ్యాట్ ఆఫ్ సార్",1,"[1,0,0,0,0,0,0,0,0,0]","['సన్నాసి', 'అనగానే', 'నేనే', 'అని', ',', 'మీ', 'నిజాయితీకి', 'హ్యాట్', 'ఆఫ్', 'సార్']"
ఇద్దయ్య ఇది మరియి ఇలా తయ్యారాయ్యారు దండాలు రా అయ్యా.,1,"[0,0,0,1,1,1,1,1]","['ఇద్దయ్య', 'ఇది', 'మరియి', 'ఇలా', 'తయ్యారాయ్యారు', 'దండాలు', 'రా', 'అయ్యా.']"
నాని ఇంకోసారి పికె స్పీచ్ చుడు... సొల్లు కాకుండ చెప్పిన పాయింట్స్ గురించి మాట్లాడు సన్నసివే నవు ఎటువంటి సందేహం లేదు ,1,"[0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0]","['నాని', 'ఇంకోసారి', 'పికె', 'స్పీచ్', 'చుడు...', 'సొల్లు', 'కాకుండ', 'చెప్పిన', 'పాయింట్స్', 'గురించి', 'మాట్లాడు', 'సన్నసివే', 'నవు', 'ఎటువంటి', 'సందేహం', 'లేదు']"
ప్రజలు ఇలా అంటారు: నువ్వు నిజంగా ఎర్రిపోకావు,1,"[0,0,0,0,0,1]","['ప్రజలు', 'ఇలా', 'అంటారు:', 'నువ్వు', 'నిజంగా', 'ఎర్రిపోకావు']"
సన్యాసి అంటే ఎవరో అనుకున్న ఈ కొజ్జా గాడా ,1,"[0,0,0,0,0,1,1]","['సన్యాసి', 'అంటే', 'ఎవరో', 'అనుకున్న', 'ఈ', 'కొజ్జా', 'గాడా']"
మా కర్మ ఇలాంటి మంత్రులు ఉండటం ,1,"[0,1,0,0,0]","['మా', 'కర్మ', 'ఇలాంటి', 'మంత్రులు', 'ఉండటం']"
"పికె చెప్పింది ఎంటి, వీడు చెప్పిఎంటి, కులాల మాద్య చిచు పెదదం అన్నతు ఉండి వీడు మాటలాది.",1,"[0,0,0,1,0,1,1,1,0,0,0,1,1]","['పికె', 'చెప్పింది', 'ఎంటి,', 'వీడు', 'చెప్పిఎంటి,', 'కులాల', 'మాద్య', 'చిచు', 'పెదదం', 'అన్నతు', 'ఉండి', 'వీడు', 'మాటలాది.']"
పవన్ కళ్యాణ్ మూవీస్ లో హీరో... రాజకీయం లో ' 0',1,"[0,0,0,0,0,0,1,1,1]","['పవన్', 'కళ్యాణ్', 'మూవీస్', 'లో', 'హీరో...', 'రాజకీయం', 'లో', ""'"", ""0'""]"
"అసలు విల్లు ప్రజాలకి ఎమ్ మంచి చెస్ట్హున్నారూ చెప్పండి, బూథులు మాట్లాడి పబ్లిక్ కి టీవీ కి ఎంటర్టైన్మెంట్ చేయకండి.",1,"[0,0,1,1,1,1,1,1,1,0,0,0,0,0,0]","['అసలు', 'విల్లు', 'ప్రజాలకి', 'ఎమ్', 'మంచి', 'చెస్ట్హున్నారూ', 'చెప్పండి,', 'బూథులు', 'మాట్లాడి', 'పబ్లిక్', 'కి', 'టీవీ', 'కి', 'ఎంటర్టైన్మెంట్', 'చేయకండి.']"
భారతీయ వివాహాలు పూర్వపు నరకం... నేను ఆ నరకాన్ని చూశాను... పోలీసు కేసు లు... బ్లాక్మెయిలింగ్... చలా ఉన్టాయి... వంథాలు... విషేశాలు... వాధు సోదరుల వివాహం వాధు... హ్యాపీ గా సింగిల్ గా ఉండండి... మీ లక్ష్యాలపై దృష్టి పెట్టండి... మీ తల్లిదండ్రులను ప్రేమించండి... స్నేహితులు... దేవుడు మీ అందరినీ ఆశీర్వదిస్తాడు...,1,"[0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","['భారతీయ', 'వివాహాలు', 'పూర్వపు', 'నరకం...', 'నేను', 'ఆ', 'నరకాన్ని', 'చూశాను...', 'పోలీసు', 'కేసు', 'లు...', 'బ్లాక్మెయిలింగ్...', 'చలా', 'ఉన్టాయి...', 'వంథాలు...', 'విషేశాలు...', 'వాధు', 'సోదరుల', 'వివాహం', 'వాధు...', 'హ్యాపీ', 'గా', 'సింగిల్', 'గా', 'ఉండండి...', 'మీ', 'లక్ష్యాలపై', 'దృష్టి', 'పెట్టండి...', 'మీ', 'తల్లిదండ్రులను', 'ప్రేమించండి...', 'స్నేహితులు...', 'దేవుడు', 'మీ', 'అందరినీ', 'ఆశీర్వదిస్తాడు...']"
"లవడా బ్రో, హేటర్లు చిల్లర్లు గల్లే.",1,"[1,0,0,1,1]","['లవడా', 'బ్రో,', 'హేటర్లు', 'చిల్లర్లు', 'గల్లే.']"
గుధ లో రాడ్ దింపుత,1,"[1,0,1,1]","['గుధ', 'లో', 'రాడ్', 'దింపుత']"
పుక్ చింతాపండు చెస్తా నా కోడక,1,"[1,0,0,1,1]","['పుక్', 'చింతాపండు', 'చెస్తా', 'నా', 'కోడక']"
దెంగించుకొండి రా మోన్నా నా నోట్లో మోడా పెటారు గా.,1,"[1,1,0,0,1,1,1,1]","['దెంగించుకొండి', 'రా', 'మోన్నా', 'నా', 'నోట్లో', 'మోడా', 'పెటారు', 'గా.']"
నీయమ్మ పుకు దెంగ సిగ్గు వుండాలి రా,1,"[1,1,1,1,1,1]","['నీయమ్మ', 'పుకు', 'దెంగ', 'సిగ్గు', 'వుండాలి', 'రా']"
నా అతులు అంత లేరు నా ఎందుకు రా ,1,"[1,1,0,0,0,0,0]","['నా', 'అతులు', 'అంత', 'లేరు', 'నా', 'ఎందుకు', 'రా']"
ఎంకో సారి హోర్న్ కొడితే గుద్దలో పెడుతా నా కొడక,1,"[0,0,0,0,1,1,1,1]","['ఎంకో', 'సారి', 'హోర్న్', 'కొడితే', 'గుద్దలో', 'పెడుతా', 'నా', 'కొడక']"
సంగీతం అపర లంజా కోడక,1,"[0,0,1,1]","['సంగీతం', 'అపర', 'లంజా', 'కోడక']"
దిల్ రాజు మరి ఎక్కువ చెస్టున్నడు ఎవరూ pspk లాగా పేరు పెట్టలేరు,1,"[0,0,1,1,1,0,0,0,0,0]","['దిల్', 'రాజు', 'మరి', 'ఎక్కువ', 'చెస్టున్నడు', 'ఎవరూ', 'pspk', 'లాగా', 'పేరు', 'పెట్టలేరు']"
పవర్,1,"[0,0,1,1,1,1,1,1,1,0,0,0,1,1,1]","['పవర్\u200cస్టార్\u200cతో', 'పోల్చవద్దు,', 'వీడి', 'లాగ', 'చేత', 'క్యారెక్టర్\u200cలు,', 'చిల్లర్\u200c', 'గది', 'క్యారెక్టర్\u200cలు', 'చేయడు', 'మా', 'పవర్\u200cస్టార్\u200c,', 'వాడు', 'తాగించుకుంటే', 'మంచిది.']"
పవర్ స్టార్ అంత సీన్ లేదు,1,"[0,0,1,1,1]","['పవర్', 'స్టార్', 'అంత', 'సీన్', 'లేదు']"
కింగ్ ఆఫ్ ఓవర్ అన్న యాక్టింగ్ కి బెస్ట్ ఓవర్ యాక్టర్ అవార్డు ఎల్లప్పుడూ విజయ్ కొండ బాబుకు దక్కుతుంది,1,"[0,0,1,0,0,0,1,1,1,0,0,0,0,0,0]","['కింగ్', 'ఆఫ్', 'ఓవర్', 'అన్న', 'యాక్టింగ్', 'కి', 'బెస్ట్', 'ఓవర్', 'యాక్టర్', 'అవార్డు', 'ఎల్లప్పుడూ', 'విజయ్', 'కొండ', 'బాబుకు', 'దక్కుతుంది']"
ప్రతి ఒక్క బోక్ గాడును పవన్ కళ్యాణ్తో పోల్చడం,1,"[0,0,1,1,0,0,0]","['ప్రతి', 'ఒక్క', 'బోక్', 'గాడును', 'పవన్', 'కళ్యాణ్తో', 'పోల్చడం']"
ఆది మతాల మద్య చిచ్చు పెట్టే ఎదవల ను..వాల్లు నమ్మిన దేవుడు కూడా క్షమించడు...జైహింద్...జై శ్రీరాం ,1,"[0,0,0,0,0,1,0,0,0,0,0,0]","['ఆది', 'మతాల', 'మద్య', 'చిచ్చు', 'పెట్టే', 'ఎదవల', 'ను..వాల్లు', 'నమ్మిన', 'దేవుడు', 'కూడా', 'క్షమించడు...జైహింద్...జై', 'శ్రీరాం']"
బ్రదర్ మాకు ఇప్పటివరకు శివాజీ మహారాజు  తెలుసు ఆయన ఒక కుమారుని గురించి మాకు ఎలాంటి విషయాలు తెలియవు మీరు తప్పక వీడియో ,0,no hateful tokens,"['బ్రదర్', 'మాకు', 'ఇప్పటివరకు', 'శివాజీ', 'మహారాజు', 'తెలుసు', 'ఆయన', 'ఒక', 'కుమారుని', 'గురించి', 'మాకు', 'ఎలాంటి', 'విషయాలు', 'తెలియవు', 'మీరు', 'తప్పక', 'వీడియో', '\u200d\u200c\u200cచేయండి']"
కొట్టకుండా ఇంతసేపు మాట్లాడిన యాంకర్ కి నమస్కారాలు చూసిన మనకి పిచ్చి పరాకాష్ట,1,"[1,0,0,0,0,0,1,1,1,1]","['కొట్టకుండా', 'ఇంతసేపు', 'మాట్లాడిన', 'యాంకర్', 'కి', 'నమస్కారాలు', 'చూసిన', 'మనకి', 'పిచ్చి', 'పరాకాష్ట']"
శివ అన్న నువు నవ్వుతూ నరకం చూపించే వాడివి అన్న నీ ఇంటర్వ్యూ కి వచ్చే వాళ్లకి,1,"[0,0,0,1,1,1,1,1,0,0,0,0,0]","['శివ', 'అన్న', 'నువు', 'నవ్వుతూ', 'నరకం', 'చూపించే', 'వాడివి', 'అన్న', 'నీ', 'ఇంటర్వ్యూ', 'కి', 'వచ్చే', 'వాళ్లకి']"
భిక్షుకులు వాళు లాగా ఉన్నారు మీరు నాతో పోలిక నా,1,"[0,0,0,0,1,1,1,1]","['భిక్షుకులు', 'వాళు', 'లాగా', 'ఉన్నారు', 'మీరు', 'నాతో', 'పోలిక', 'నా']"
కల్లు పాథుకోని శంక కన్నిధి మీరూ,1,"[0,0,1,1,1]","['కల్లు', 'పాథుకోని', 'శంక', 'కన్నిధి', 'మీరూ']"
